sentence,url,date_published,type
Recurring pro-Kremlin disinformation narrative on the poisoning of Russian activist Alexei Navalny.,https://euvsdisinfo.eu/report/new-us-sanctions-based-on-false-claim-russia-violated-chemical-weapons-convention,2021-03-02,claim
"The narrative about the degenerate West brings us to another disinformation case, proving (sic!)",https://euvsdisinfo.eu/scorching-the-earth-with-disinformation-2/,2019-09-19,news
"We have observed how most of the pro-Kremlin disinformation boils down to a small number of narratives, plots with a strong similarity to the fairy tale above.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-2/,2020-07-27,news
"The migration crisis, unemployment, the coronavirus pandemic, a NATO military exercise – all fit in to a narrative of an imminent collapse.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-2/,2020-07-27,news
"When the summit was over, that line was expanded into a broader narrative about NATO as an aggressive organisation and not about peace and stability.",https://euvsdisinfo.eu/sputniks-lines-on-nato/,2016-07-15,news
"QUICK GUIDE TO SELF-CENSORSHIP ON THE RUSSIAN INTERNET
 

DON’T QUESTION IF CRIMEA BELONGS TO RUSSIA
DON’T QUESTION THE OFFICIAL WW2 NARRATIVE
DON’T SHOW IMAGES OF NAZI SYMBOLS IN RUSSIA*
AVOID USING THE SOCIAL NETWORK VKONTAKTE
REPOST = ENDORSEMENT

*NOT EVEN ON HISTORICAL PHOTOS FOR ILLUSTRATION PURPOSES!",https://euvsdisinfo.eu/quick-guide-to-self-censorship-online/,2016-07-08,news
"As the new normal sets-in and governments, media and health professionals catch-up with the public conversation, new narratives emerge.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Nearly one year ago, EUvsDisinfo reported how pro-Kremlin sources widely spread conspiracy narratives and disinformation directed at the audiences in the EU and the wider neighbourhood.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Today, with COVID-19 virus surrendering its top attention spot to COVID-19 vaccines, we are here to inspect narratives and flag manipulations.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"The prevailing narratives on vaccines roll-out identified in pro-Kremlin media messaging refer to Sputnik V vaccine as a great public good, efficient and safe to use and much in demand around the world.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Targeting the West: Pro-Kremlin media is amplifying disinformation narratives about COVID-19 and vaccines

“Blame the EU!” (",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
Narratives emphasise a feeling of Sputnik V victory over ‘the sceptical West’ while at the same trying to manipulate audiences into believing that the EU only acted with delay and when public pressure mounted and was weak.,https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"In the Eastern Partnership countries (EaP), Russian state financed and/or controlled media outlets operating in local languages offer very similar narratives to those seen in Russian domestic media.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
Pre-bunking and debunking false and harmful narratives remain important.,https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Over the past months, the disinformation cases regarding vaccines were observed, mirroring the Russian narratives via several outlets such as livenews.am and the Russian State news agency Sputnik’s Armenian version.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Disinformation narratives varies from spreading fear for vaccines, for example: ’People can risk their lives by getting vaccinated, but not get guaranteed protection and they can be contagious’; ‘The first stage of the artificially created new coronavirus (SARS-COV 2) is a murder of the population‘.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"The Sputnik Azerbaijani (Sputnik.az), mirror the official Russian narratives as described above incl.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Harmful narratives about Western vaccines gained further momentum after COVAX informed Azerbaijani authorities about delays in vaccine deliveries, with President Ilham Aliyev himself accusing developed nations of unequal and unfair distribution of vaccines – accusations that were widely covered in Azerbaijani media.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"Ukraine continues to be the prime target of heavy criticism from both the Russian state-controlled media and the local pro-Kremlin media for choosing not to authorise use of Sputnik V. According to the pro-Kremlin narrative promoted by NTV: ‘by orders from the US embassy, which forbid Ukraine to use the Russian vaccine’ thus jeopardising Ukrainians’ lives or by RT: ‘Ukraine rejects Russian vaccine for political reasons.",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"The discussions among health professional and political leaders in the EU Member States, as well as the EMA’s information of 18 March, was also picked up by Russian State controlled and/or financed outlets which used the opportunity to amplify existing deceptive narratives: to highlight insecurity around AstraZeneca, the alleged failure of EU’s COVID-19 handling, the success of Sputnik V. All of this in turn is affecting the public debate on vaccination (examples from recent Russian main state TV here or here).",https://euvsdisinfo.eu/dizzy-by-vaccine-disinfo-capturing-vaccines-rollout-in-the-eus-neighbourhood-and-russia/,2021-03-26,news
"The Church and anti-Semitism in Russia
The Russian Orthodox Church is considered by many a strong source of nationalist sentiment in modern Russia; observers have seen the Church as central in building up an anti-Semitic narrative around the 100th anniversary of the October Revolution and the upcoming 100th anniversary of the execution of Russia’s last Imperial family.",https://euvsdisinfo.eu/antisemitism-and-pro-kremlin-propaganda/,2018-01-19,news
"This is an unfounded conspiracy theory that utilises the common pro-Kremlin disinformation narrative invoking ""Russophobia"", which is used to attempt to delegitimise any criticism of Russian actions as merely being a manifestation of the West's ""anti-Russian"" attitudes.",https://euvsdisinfo.eu/report/british-cyber-forces-are-attacking-russia-with-anti-russian-fuss (1),2020-03-08,claim
"The paper claimed that:
“A preventively shaped narrative, answering to the national interests of the state, can significantly diminish the impact of foreign forces’ activities in the information sphere, as they, as a rule, attempt to occupy “voids” [in the information flow].”",https://euvsdisinfo.eu/six-years-of-mh17-lies-the-kremlin-is-losing-its-own-game/,2020-07-17,news
"As the date of the first hearing of the MH17 criminal trial on the 9th of March, 2020, approached, the method of “preventively shaped narratives” was highly visible.",https://euvsdisinfo.eu/six-years-of-mh17-lies-the-kremlin-is-losing-its-own-game/,2020-07-17,news
Pro- Kremlin media tactics regarding the #MH17 trial: occupy the information space with preemptive disinformation narratives.,https://euvsdisinfo.eu/six-years-of-mh17-lies-the-kremlin-is-losing-its-own-game/,2020-07-17,news
"Throughout the painstaking six-year investigation, the Joint International Team revealed the extent of Russian administrative, financial and military influence on militants in Donbas, thus dismantling one of the core disinformation narratives of the pro-Kremlin media about a “civil war” in Ukraine.",https://euvsdisinfo.eu/six-years-of-mh17-lies-the-kremlin-is-losing-its-own-game/,2020-07-17,news
"This is a new take on an already well-known Russian disinformation narrative, attempting to portray Ukraine as a fascist, Nazi state.",https://euvsdisinfo.eu/report/ukrainian-fascism-is-directed-by-us-fascism-in-foreign-policy,2020-11-12,claim
"To illustrate the scope of the pro-Kremlin disinformation campaign regarding MH17, the infographic below (download a PDF version for better visibility) traces the evolution of the narratives from the immediate aftermath of the crash to the present day.",https://euvsdisinfo.eu/mh17-timeline-of-pro-kremlin-disinformation-narratives/,2021-07-13,news
"The Russian Embassy also tried to push a parallel narrative with a potentially positive spin for RT when it noted that “contrary to claims of many UK politicians and media rivals, [Ofcom] acknowledges that ‘[RT’s] overall compliance record has not been materially out of line with other broadcasters’”.",https://euvsdisinfo.eu/rt-could-lose-its-uk-broadcast-license/,2018-04-24,news
Recurring pro-Kremlin disinformation narrative about Ukraine and the coronavirus.,https://euvsdisinfo.eu/report/zelenskyy-denies-ukraine-the-only-protection-against-covid-19,2020-10-08,claim
A pro-Kremlin disinformation narrative linking Britain and Russophobia.,https://euvsdisinfo.eu/report/british-round-table-movement-has-infiltrated-america,2019-07-06,claim
This message is consistent with a recurrent pro-Kremlin narrative that the “deep state” and “shadow government” control the work of democratic institutions in the United States.,https://euvsdisinfo.eu/report/british-round-table-movement-has-infiltrated-america,2019-07-06,claim
Here are some other examples of this narrative: “Deep state” fighting with Trump (here and here); “Deep state” shaping the US foreign policy (here).,https://euvsdisinfo.eu/report/british-round-table-movement-has-infiltrated-america,2019-07-06,claim
"And although it is obviously completely untrue, the story fits very well the overarching negative narrative about moral decay in the West in general.",https://euvsdisinfo.eu/no-denmark-is-not-legalising-sexual-abuse-of-animals/,2017-09-09,news
"Part of a narrative
The story is in line with similar disinformation stories about moral decay in Europe.",https://euvsdisinfo.eu/no-denmark-is-not-legalising-sexual-abuse-of-animals/,2017-09-09,news
Recurrent pro-Kremlin disinformation narrative on the propaganda of the morally corrupt West.,https://euvsdisinfo.eu/report/western-propaganda-of-feminine-men-is-promoted-in-belarus,2019-03-15,claim
"See other examples of pro-Kremlin disinformation narratives on Alexei Navalny’s poisoning in our database, such as claims that only caffeine and alcohol were found in his blood, that the US wanted to use it to block Nord Stream 2 and Russia’s vaccine against coronavirus, that the West hopes that he dies to have an excuse for new sanctions, or that Western accusations about Navalny’s case are as false as they were about Sergei Skripal and Alexander Litvinenko.",https://euvsdisinfo.eu/report/germany-waited-impossible-new-tests-refute-novichok-claim,2020-09-03,claim
Recurring pro-Kremlin disinformation narrative claiming that the US is supporting or working together with ISIS in the Middle East.,https://euvsdisinfo.eu/report/us-trains-isis-in-syria,2020-05-19,claim
"Sites openly belonging to, or affiliated with, Russian state structures;
Sites registered in Russia and with open and obvious connection to pro-Kremlin circles;
Sites registered in Russia, but without manifest connections to the Kremlin or other Russian structures;
Sites registered outside Russia and devoted mainly to Russian topics and with an openly pro-Kremlin agenda;
Sites, registered outside Russia and reporting on a wider range of issues, while supporting pro-Kremlin narratives

A similar taxonomy of the disinformation ecosystem is suggested by the US State Department’s Global Engagement Center, the GEC.",https://euvsdisinfo.eu/cmon-lets-ignore/,2020-08-31,news
"In one of the few articles on Belarus in the category 5 Off-Guardian, the protests are reduced to a ”narrative roll-out”.",https://euvsdisinfo.eu/cmon-lets-ignore/,2020-08-31,news
"The video clip and accompanying text are a combination of two recurring disinformation narratives: that NATO is building military bases in Montenegro, which is therefore being “occupied by NATO”; and the narrative about “Greater Albania”, a new state which would supposedly consist of Albania, Kosovo and parts of Montenegro and North Macedonia.",https://euvsdisinfo.eu/report/nato-is-laying-foundations-for-a-greater-albania-by-turning-montenegro-into-its-military-base,2019-08-28,claim
Recurring pro-Kremlin disinformation narrative undermining the statehood of Ukraine and casting it as abandoned by its partners.,https://euvsdisinfo.eu/report/the-eu-would-like-to-make-money-on-poor-ukraine,2020-05-06,claim
The story confirmed some of the more outlandish parts of the pro-Kremlin narrative about Europe’s alleged moral decay and made Russian outlets go into overdrive.,https://euvsdisinfo.eu/a-tale-of-six-sexes/,2019-01-16,news
"However, the story was too good for the pro-Kremlin narrative to be true.",https://euvsdisinfo.eu/a-tale-of-six-sexes/,2019-01-16,news
Frequently recurring narrative among pro-Kremlin disinformation actors.,https://euvsdisinfo.eu/report/the-west-encourages-ukraine-to-launch-an-offensive-against-the-donbas,2021-01-25,claim
"Read more on the pro-Kremlin disinformation campaign about the Sergei Skripal poisoining:
Defensive disinformation as decoy flare: Skripal and Flight MH17
Russian media have published 20 different narratives on Skripal poisoning
Salisbury poisoning on Russian TV: confuse, undermine and ridicule
Behind the Smokescreen: Who are the Actors Spreading Disinformation on Ex-Spy Poisoning?",https://euvsdisinfo.eu/disinformation-on-russian-tv-reported-chemical-attack-in-syria-and-skripal-poisoning-western-provocation/,2018-04-10,news
"The disinformation claim above is part of a recurring narrative about the statehood of Ukraine, aimed at undermining the country's territorial integrity and sovereignty, as well as at portraying Ukraine as a Western puppet/buffer state.",https://euvsdisinfo.eu/report/armed-forces-of-ukraine-are-under-foreign-control,2021-08-18,claim
"They are listed in order of their ambition, as follows:
– strategic victory, where the information effects alone can in some cases replace armed intervention altogether and achieve e.g. regime change;
– “reflexive control”, the practice of predetermining an adversary’s decision in Russia’s favour, by altering key factors in the adversary’s perception of the world;
– permissive environment, spreading disinformation in mass and social media, thus creating a permissive public opinion environment where Russian narratives are presented as factual;
– subversion and destabilisation, broad-based, long-term weakening and undermining of adversary societies overall, without necessarily any specific short term goal other than increasing Russia’s relative strength in a classic zero-sum approach;
– and finally defensive measures, securing the national information space against the possible use of the techniques described above.",https://euvsdisinfo.eu/why-is-the-banning-of-an-online-meme-so-important/,2017-04-12,news
"And in a direct echo of Soviet and Tsarist repression of thought, Russia has already begun the criminalisation of alluding to historical facts which are inconvenient for current state narratives,” writes Giles referring to the case where a 37-year-old Russian, Vladimir Luzgin, was fined for re-posting an image recalling that USSR and Nazi Germany cooperated on the invasion of Poland in 1939.",https://euvsdisinfo.eu/why-is-the-banning-of-an-online-meme-so-important/,2017-04-12,news
"Recurring disinformation about UN organs working in Georgia euvsdisinfo.eu/report/soros-and-unicef-prohibiting-boys-to-be-boys-and-girls-to-be-girls-in-georgia/, euvsdisinfo.eu/report/georgian-kindergartens-receive-directives-from-unicef/, More on specific narratives used in pro-Kremlin disinformation in Georgia can be found here idfi.ge/public/upload/Meri/Giorgi%20Lomtadze/Policy%20Paper.PDF, Further debunking by Myth detector.",https://euvsdisinfo.eu/report/the-un-issues-an-order-in-georgia-to-sexualise-five-year-old-children,2018-04-17,claim
"There was no coup d’état in Ukraine in 2014; this is a longstanding pro-Kremlin disinformation narrative about Ukraine's Euromaidan protests, laying responsibility for the ensuing Russian aggression on the US.",https://euvsdisinfo.eu/report/maidan-coup-part-of-propagandistic-marching-baggage-for-the-us-led-world-order,2021-03-01,claim
"Also the used narratives, data leaks and falsification of documents are analysed.",https://euvsdisinfo.eu/holiday-reading-list-from-macron-leaks-and-ria-to-wechat-and-russian-interference/,2018-12-28,news
"The report also highlights the tactics, techniques, and narratives used to influence Americans online.",https://euvsdisinfo.eu/holiday-reading-list-from-macron-leaks-and-ria-to-wechat-and-russian-interference/,2018-12-28,news
Here it is the image that changes the impact of the story when it is transplanted to the Russian context where media feature an ongoing narrative about overall decay and despair in European societies.,https://euvsdisinfo.eu/empty-european-stores-on-russian-tv/,2017-02-14,news
Recurring pro-Kremlin narrative on Novichok and the Navalny poisoning.,https://euvsdisinfo.eu/report/novichok-was-listed-in-the-us-armament,2020-09-15,claim
Pro-Kremlin disinformation narrative aboutCrimea.,https://euvsdisinfo.eu/report/un-lies-about-violation-of-human-rights-in-crimea,2020-07-03,claim
"In the disinformation narratives we catalogue, harmony, brotherhood and the idea of belonging are often under attack.",https://euvsdisinfo.eu/all-by-myself/,2021-04-13,news
"In these narratives, loneliness, in the sense of lacking a feeling of belonging, is caused by liberalism, capitalism, or sometimes combined in neoliberalism.",https://euvsdisinfo.eu/all-by-myself/,2021-04-13,news
"And this is a story of how Russia has over the years developed its capacity in influence operations, creating campaigns that artificially generate narratives to manipulate public opinion, and using a vast variety of channels, tools and policy instruments to achieve its goals.",https://euvsdisinfo.eu/finland-puts-russian-kids-in-prison-disinformation-that-shaped-the-minds-of-millions/,2018-08-06,news
"The motives and goals behind this disinformation campaign are various, and the same narrative has been used also against France and Norway.",https://euvsdisinfo.eu/finland-puts-russian-kids-in-prison-disinformation-that-shaped-the-minds-of-millions/,2018-08-06,news
"Such claims are a continuation of disinformation narratives that emerged before the election to, a priori, delegitimise any criticism of an increased crackdown on political opposition, civil society and independent media.",https://euvsdisinfo.eu/the-kremlins-big-tech-conundrum/,2021-09-30,news
"Nor did the Russian state-controlled TV dwell on explanations how an app designed by Russian opposition activists constitutes “foreign meddling” (it doesn’t, unless one believes recurring pro-Kremlin disinformation narratives smearing the political opposition).",https://euvsdisinfo.eu/the-kremlins-big-tech-conundrum/,2021-09-30,news
Conspiracy theory and a pro-Kremlin narrative about the coronavirus and Bill Gates.,https://euvsdisinfo.eu/report/bill-gates-is-sponsoring-the-coronavirus,2020-02-03,claim
"Within four weeks of the Salisbury poisoning, Russian state-owned outlets RT and Sputnik disseminated 138 separate and contradictory narratives via 735 articles, the Policy Institute at King’s College London discovered.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"For example, 32 narratives suggested that the West’s response to the poisoning was driven by Russophobia, and that the UK’s investigation of Russia is simply a witch hunt.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"Among the most outrageous of these conspiracy theories is the narrative that the Skripals were never poisoned at all, but that the whole incident was just a hoax designed to smear Russia, and was coordinated either by any number of hostile entities – possibly the UK or other foreign intelligence agencies.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"What also stands out is that within two days of British Prime Minister Theresa May announcing that the Novichok used in Salisbury came from Russia, 11 new narratives about the poisoning surfaced in Kremlin-aligned media.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"These narratives either questioned the existence of Novichok or speculated on its source(s), but all unanimously declared that it certainly wasn’t supplied by Russia.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"In other words, Russian narratives made their way into Western news.",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"The sheer number of 138 separate narratives provided by sources – and often presented as fact in the editorial text of RT and Sputnik articles – also suggests a willingness, if not intent, to represent as many competing or contradictory explanations of events as possible.”",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"Read more on the pro-Kremlin disinformation campaign about the Sergei Skripal poisoining:
Defensive disinformation as decoy flare: Skripal and Flight MH17
Russian media have published 20 different narratives on Skripal poisoning
Salisbury poisoning on Russian TV: confuse, undermine and ridicule
Behind the Smokescreen: Who are the Actors Spreading Disinformation on Ex-Spy Poisoning?",https://euvsdisinfo.eu/figure-of-the-week-138/,2019-03-05,news
"Ahead of the vote on constitutional amendments in Russia, which not only define marriage as a union between a man and a woman, but could also keep President Putin in power until 2036, RIA FAN tries to mobilise Russian voters by engaging in one of the most prominent pro-Kremlin disinformation narratives – that of the “gay threat” to traditional values.",https://euvsdisinfo.eu/vote-or-gays-will-take-your-children-2020-edition/,2020-06-10,news
Recurring pro-Kremlin disinformation narrative about Alexei Navalny.,https://euvsdisinfo.eu/report/the-western-navalny-project-to-destabilize-russia-has-failed,2021-02-16,claim
"The study presents several case studies as to how the Kremlin’s narratives were transferred into various EU Member States, including the Visegrad countries.",https://euvsdisinfo.eu/fertile-soil-for-pro-kremlin-propaganda/,2016-05-13,news
"Hungarian news site VS.hu recently revealed that in Hungary, the number of online outlets that support the official Russian narrative more than doubled since 2014.",https://euvsdisinfo.eu/fertile-soil-for-pro-kremlin-propaganda/,2016-05-13,news
"Poland not receptive of Russian meta-narratives
A similar picture arises in the neighbouring Czech and Slovak Republics, the Finnish analysis shows.",https://euvsdisinfo.eu/fertile-soil-for-pro-kremlin-propaganda/,2016-05-13,news
"In Poland, on the contrary, the study observes that “in general, public perception in Poland is not receptive of Russian metanarratives” and that Russian narratives failed “to penetrate and affect the interpretation and assessment of the events in Ukraine as presented in opinion pieces or editorials”.",https://euvsdisinfo.eu/fertile-soil-for-pro-kremlin-propaganda/,2016-05-13,news
Conspiracy theory based on recurring pro-Kremlin disinformation narrative about EU being a Nazi project or under US control.,https://euvsdisinfo.eu/report/the-eu-was-invented-in-the-third-reich-and-created-by-us-agents,2019-03-09,claim
It is a pro-Kremlin disinformation narrative aiming to discredit the International Joint Investigation Team (JIT) and the progress made in the investigation of the downing of the flight MH17.,https://euvsdisinfo.eu/report/an-australian-jurist-told-the-mh17-was-shot-down-by-a-ukrainian-fighter,2020-03-10,claim
"Find further disinformation narratives here about how The Netherlands is going to sabotage the MH17 trial, The MH17 trial will be a show process, and that There was no BUK, MH17 crashed because of an explosion on board.",https://euvsdisinfo.eu/report/an-australian-jurist-told-the-mh17-was-shot-down-by-a-ukrainian-fighter,2020-03-10,claim
Recurring pro-Kremlin disinformation narrative about the Syrian war and belligerent intentions of the West against Syria.,https://euvsdisinfo.eu/report/sanctions-on-syria-are-illegal-and-aim-to-destroy-the-country,2020-07-03,claim
"The message often repeatedly refers to the fundamental narrative about an alleged American led conspiracy, which undermines the strategic aim of political continuity.",https://euvsdisinfo.eu/national-traitors-on-national-tv/,2016-04-08,news
"Also, the narrative is in line with Putin’s identification of what he labelled called “national traitors” in his often-quoted speech on the occasion of the annexation of Crimea from March 2014.",https://euvsdisinfo.eu/national-traitors-on-national-tv/,2016-04-08,news
"With international efforts to create efficient vaccines speeding up, it was no longer “cool” to repeat anti-vaccination disinformation narratives on Russian state TV.",https://euvsdisinfo.eu/what-happened-in-2020/,2020-12-28,news
"To that end, it adapted several prominent disinformation narratives to the American realities and claimed, for example, that the Democratic Party in the US were using their “colour revolution manuals” to orchestrate the riots and that it was all funded by George Soros and globalists seeking to influence the results of the US presidential election.",https://euvsdisinfo.eu/what-happened-in-2020/,2020-12-28,news
"At the outset of protests, a number of journalists in Belarusian state TVs were replaced by media “specialists” from Russia and disinformation narratives between Belarusian and Russian state-controlled media were aligned.",https://euvsdisinfo.eu/what-happened-in-2020/,2020-12-28,news
"EUvsDisinfo has previously reported numerous instances of this narrative circulating across pro-Kremlin media, targeting Ukraine, Georgia and other EU Eastern Partnership countries.",https://euvsdisinfo.eu/figure-of-the-week-up-to-16-times_2/,2020-07-01,news
But how do you celebrate when your daily job consists in tracing made-up stories and monitoring disinformation narratives?,https://euvsdisinfo.eu/evil-feminism-six-sexes-who-wants-to-be-the-kremlins-fool/,2019-04-01,news
"Recurring pro-Kremlin disinformation narrative about the Council of Europe, undermining role of this institution.",https://euvsdisinfo.eu/report/the-council-of-europe-is-a-completely-meaningless-and-absolutely-anti-russian-organisation,2019-07-04,claim
"The headline, followed by an “interview” with a former propaganda specialist in the Soviet army, indeed ticked all the propaganda boxes:

engaging in historical revisionism – check;
discrediting democratic movements by labelling them as orchestrated “colour revolutions” – check;
hammering the same old disinformation narratives year after year – check!",https://euvsdisinfo.eu/30-years-of-colour-revolutions/,2021-01-14,news
"Vaccination disinformation competing for attention
Busy covering global events through a lens of disinformation, pro-Kremlin media nonetheless found time to reinforce its narrative of “vaccine wars”.",https://euvsdisinfo.eu/30-years-of-colour-revolutions/,2021-01-14,news
"Some of the disinformation narratives used:

In 2020, the EU crossed all the boundaries of the permissible and decided to turn Georgia into a concentration camp
The EU shifts its problems to Georgia; deporting migrants is difficult, so if it does not work out, Georgia has to guard and feed the migrants
The EU is not a friend and partner, but “in fact it turns out to be a pest”.",https://euvsdisinfo.eu/showing-support-for-a-made-up-migrant-camp-the-case-of-a-forged-letter/,2020-09-21,news
Recurrent pro-Kremlin disinformation narrative about Ukraine.,https://euvsdisinfo.eu/report/the-us-led-a-coup-in-ukraine-and-instated-a-2,2016-06-15,claim
Recurring pro-Kremlin narrative about West's moral decay.,https://euvsdisinfo.eu/report/during-the-ten-months-of-2016-168-new-cases-of,2016-11-30,claim
"And when Moscow  is looking for allies, a little glorifying Hitler is fine, as long as they are supporting Pro-Kremlin narratives.",https://euvsdisinfo.eu/pro-kremlin-news-front-praising-hitler/,2019-06-21,news
A recurring pro-Kremlin narrative on Russophobia in the Baltic states and military exercises.,https://euvsdisinfo.eu/report/latvia-is-preparing-for-russian-invaders,2020-11-06,claim
This message is a part of the Kremlin’s widespread narrative about Russophobic Poland.,https://euvsdisinfo.eu/report/the-polish-political-elites-turned-russophobia-into-a-national-idea-in-order-to-receive-the-favour-of-the-usa,2020-12-17,claim
"Within this narrative, the “Russophobic” policies of Poland are often explained by the claim that the United States fully controls the domestic and foreign policy of this country (presenting Poland as an American “puppet-state” or a “banana republic”).",https://euvsdisinfo.eu/report/the-polish-political-elites-turned-russophobia-into-a-national-idea-in-order-to-receive-the-favour-of-the-usa,2020-12-17,claim
"Most of the pro-Kremlin disinformation boils down to a small number of narratives, plots with a strong similarity to the fairy tale above.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-1/,2020-07-20,news
"The basic structure of the story can easily be changed, certain elements can be emphasised, the story can be more or less complicated, but eventually the narrative remains the same.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-1/,2020-07-20,news
"The narrative functions as a template, making production easy and the story attractive and engaging.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-1/,2020-07-20,news
"Once Upon a Time
The basic narrative of the pro-Kremlin disinformation starts in a simple premise, surprisingly similar to anything we read in the fairy-tales:
Destructive forces controlling the government, money flows and the media threaten the natural order and values of the World.",https://euvsdisinfo.eu/storytelling-the-disinformation-part-1/,2020-07-20,news
"In order to create the narrative that the European Union and French democracy are crumbling under the weight of immigration, Rossiya-24 starts its report about Euroscepticism by showing violent protests against draft labour laws, unrelated to the European Union.",https://euvsdisinfo.eu/vous-etes-malhonnete-monsieur/,2016-05-27,news
"To close the narrative on Europe’s migration issues, Vesti Nedeli’s item interviews former French Agriculture Minister Bruno Le Maire, who suggests closer cooperation with Russia as a solution.",https://euvsdisinfo.eu/vous-etes-malhonnete-monsieur/,2016-05-27,news
"Recurring pro-Kremlin disinformation narrative about the war in Ukraine, claiming that Ukraine refuses to implement the Minsk agreements.",https://euvsdisinfo.eu/report/its-dpr-lpr-and-russia-who-interested-in-ceasefire-on-donbas-not-ukraine,2020-07-27,claim
"Nevertheless, in 2015 IRA-linked accounts tweeted over 9,600 times, exacerbating disagreements between Greece and the EU over the financial bailout package, and pushing the narrative that Greece should embrace Russia instead.",https://euvsdisinfo.eu/trolling-european-elections-2014-2019/,2019-05-20,news
"What seemed to be most effective, however, was to switch narratives according to the trending topics of discussion.",https://euvsdisinfo.eu/trolling-european-elections-2014-2019/,2019-05-20,news
"Part of the recurring pro-Kremlin narrative on the international recognition of the ""DPR"" and ""LPR""",https://euvsdisinfo.eu/report/the-speech-of-the-dpr-and-lpr-un-meeting-is-recognition-at-the-international-level,2020-12-02,claim
"Sputnik Czechia hints that “only the US benefited from the attack”, implying the “cui bono” narrative.",https://euvsdisinfo.eu/us-provoking-hunger-riots-in-europe/,2021-09-23,news
"In most editions of Sputnik disinformation is predictable, the tropes and narratives are rarely surprising and they follow the line set by the Kremlin.",https://euvsdisinfo.eu/us-provoking-hunger-riots-in-europe/,2021-09-23,news
"Recurring pro-Kremlin disinformation narrative about the war in Ukraine, and Western plans to encircle Russia.",https://euvsdisinfo.eu/report/the-united-states-is-using-ukraine-as-a-weapon-against-russia,2021-05-06,claim
"By accusing the US and NATO, these narratives aim to deflect from Russia any blame for this situation and the events that led to it.",https://euvsdisinfo.eu/report/the-united-states-is-using-ukraine-as-a-weapon-against-russia,2021-05-06,claim
"This is a recurring disinformation narrative from pro-Kremlin media outlets, trying to justify the 2014 illegal referendum in Crimea and accusing Ukraine of cutting off water supplies there in violation of human rights.",https://euvsdisinfo.eu/report/ukraine-has-been-holding-the-water-blockade-of-crimea-for-revenge,2021-09-14,claim
A recurring pro-Kremlin disinformation narrative accusing the West of double-standards and violating freedom of speech.,https://euvsdisinfo.eu/report/eu-nato-member-states-encourage-closure-of-independent-media,2021-03-19,claim
Recurring pro-Kremlin disinformation narrative about the colour revolutions.,https://euvsdisinfo.eu/report/the-eu-can-use-certain-colour-revolution-elements-to-organise-early-elections-in-poland,2021-10-12,claim
